base,c1,scale,matches,goal_mae,team_a_goal_mae,team_b_goal_mae,total_goals_mae,goal_difference_mae,poisson_log_loss,brier_score,predicted_avg_team_a_goals,predicted_avg_team_b_goals,predicted_avg_total_goals,actual_avg_team_a_goals,actual_avg_team_b_goals,actual_avg_total_goals,predicted_minus_actual_total_goals
1.1,0.5,350.0,1170,0.9391833934249083,1.004424804159951,0.8739419826898657,1.4367521367521368,1.3223544945079364,1.0085742230180619,0.6030880505966036,1.1448033160818072,1.055196683918193,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.5,400.0,1170,0.9389743286399572,1.0053135372916666,0.8726351199882478,1.4367521367521368,1.331051398267094,1.014109410677318,0.6074044704501175,1.1392029015715812,1.060797098428419,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.5,450.0,1170,0.9389755630978158,1.0061238224738842,0.8718273037217474,1.4367521367521368,1.338573442254511,1.0194509080197092,0.6113732446654403,1.1348470236191834,1.0651529763808167,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.5,500.0,1170,0.9390601772068377,1.006837273211111,0.8712830812025641,1.4367521367521368,1.3448276078102563,1.024353123872672,0.6149410991946177,1.131362321257265,1.0686376787427352,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.5,550.0,1170,0.9392449837435897,1.007510337161616,0.8709796303255634,1.4367521367521368,1.3500763800606062,1.0287728543013963,0.6181230775491294,1.1285112011429683,1.0714887988570319,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.75,350.0,1170,0.9416781738015874,1.0025459770781442,0.8808103705250305,1.4368891477155068,1.3069806165152624,0.9996384756739692,0.5933123317144748,1.168348332838828,1.0343393286190476,2.2026876614578756,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5229533641831501
1.1,0.75,400.0,1170,0.9403724012876603,1.0029209170614317,0.8778238855138889,1.4365706583851496,1.3092860937590811,1.00144608977767,0.5957507004917308,1.1591025281907053,1.0416481247339744,2.20075065292468,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5248903727163459
1.1,0.75,450.0,1170,0.9397090852428776,1.0035066125669516,0.8759115579188034,1.4366182967934473,1.3135721806994303,1.0037572279755786,0.5986482364009699,1.1523123406581197,1.04782149930057,2.2001338399586894,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5255071856823363
1.1,0.75,500.0,1170,0.9393166013965812,1.004113659207265,0.8745195435858975,1.4367521367521368,1.3193793342162394,1.0068033087519472,0.6016038892636939,1.1470434818858974,1.0529565181141027,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,0.75,550.0,1170,0.9390797308714064,1.0047208840306916,0.8734385777121212,1.4367521367521368,1.3253320283131313,1.0104082370894771,0.6045566649642087,1.1427668017144523,1.0572331982855478,2.2,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5256410256410255
1.1,1.0,350.0,1170,0.9486961726825396,1.0052063048522588,0.8921860405128205,1.4368305493943834,1.3214222794798534,1.0095486014380652,0.5940861358781553,1.195422629897436,1.0184996975482297,2.2139223274456654,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5117186981953603
1.1,1.0,400.0,1170,0.9445255591741453,1.003019816596154,0.8860313017521367,1.4372271020448717,1.3101385380833332,1.0018742485474759,0.5924639339178225,1.1813665252371797,1.025620566252137,2.2069870914893164,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5186539341517094
1.1,1.0,450.0,1170,0.9421743981092119,1.0025207640170941,0.8818280322013295,1.4369331119335234,1.3072107512117759,0.9995928566976134,0.5928921171054493,1.1711465625394113,1.032306312300095,2.203452874839506,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5221881508015196
1.1,1.0,500.0,1170,0.9408523831538462,1.0026393308940171,0.8790654354136752,1.436684164191453,1.3076008120581197,1.000307907561174,0.5944213798328929,1.1633329055948718,1.0381671693452992,2.2015000749401707,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.524140950700855
1.1,1.0,550.0,1170,0.940159793009324,1.003057475016317,0.877262111002331,1.4365497020994562,1.3102930077156176,1.0020457878981923,0.5964583770384675,1.1572416124180265,1.0432733576317017,2.200514970049728,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5251260555912975
1.1,1.25,350.0,1170,0.9602290244993895,1.01400434,0.906453708998779,1.436828992161172,1.356825699871795,1.0351318804415421,0.6020443825366325,1.2267736767094017,1.011953976697192,2.2387276534065936,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.4869133722344321
1.1,1.25,400.0,1170,0.9526917864476496,1.0080597407077991,0.8973238321875,1.4366822494497864,1.3330086188621795,1.018126022471287,0.5965997072600074,1.2066426246180557,1.0148354617975428,2.2214780864155985,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5041629392254272
1.1,1.25,450.0,1170,0.9476954046320039,1.0045784283119659,0.8908123809520417,1.4370116355792972,1.3183150394444445,1.0073256994856994,0.5935211417501842,1.1922085306813865,1.0199076711182338,2.2121162017996205,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5135248238414052
1.1,1.25,500.0,1170,0.9445255591741453,1.003019816596154,0.8860313017521367,1.4372271020448717,1.3101385380833332,1.0018742485474759,0.5924639339178225,1.1813665252371797,1.025620566252137,2.2069870914893164,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5186539341517094
1.1,1.25,550.0,1170,0.9425279980866356,1.0025476875990675,0.8825083085742036,1.4370039835936286,1.307442816985237,0.9997243215856167,0.592700893321168,1.1729701485975137,1.0310125746425798,2.2039827232400935,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5216583024009323
1.1,1.5,350.0,1170,0.9738305746489622,1.0260177706105007,0.9216433786874236,1.4357816425457874,1.4042779565262515,1.0703593889845369,0.6132126885467253,1.2625057503516484,1.0144749903699635,2.276980740721612,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.4486602849194137
1.1,1.5,400.0,1170,0.9634086875940171,1.0166509141613247,0.9101664610267094,1.4367563340491454,1.3677750614722222,1.0434704978837168,0.604608342076152,1.235257511548077,1.011739255375,2.2469967669230773,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.47864425871794847
1.1,1.5,450.0,1170,0.9561267112364672,1.0107765715441595,0.9014768509287749,1.4368066157549857,1.3435119997150997,1.0250975855815327,0.5989347051591236,1.2158100624786325,1.0131969053960115,2.229006967874644,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.4966340577663817
1.1,1.5,500.0,1170,0.9507476519713676,1.006607435797436,0.8948878681452992,1.436718263751282,1.3272251544880342,1.0141160906484112,0.5953382631786378,1.2013453796076925,1.0162771918,2.2176225714076923,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5080184542333335
1.1,1.5,550.0,1170,0.9470570046915308,1.004208146021756,0.8899058633613054,1.4370748885703186,1.316448128818959,1.0060747884048211,0.5932235241427074,1.19018693993007,1.0208834915198135,2.2110704314498832,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.5145705941911425
1.2,0.5,350.0,1170,0.9436534628168498,1.0072023562625152,0.8801045693711844,1.4333333333333333,1.3223544945079364,1.0064999436270905,0.6015963888773367,1.244803316081807,1.1551966839181929,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.5,400.0,1170,0.9458445887606838,1.010002503695513,0.8816866738258546,1.4333333333333333,1.331051398267094,1.0121973019963675,0.6058467928601713,1.239202901571581,1.1607970984284188,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.5,450.0,1170,0.9480336770987654,1.0125160000237416,0.8835513541737892,1.4333333333333333,1.338573442254511,1.0175261422409057,0.609728115130415,1.2348470236191833,1.1651529763808166,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.5,500.0,1170,0.9501086264136752,1.0147539543290598,0.8854632984982906,1.4333333333333333,1.3448276078102563,1.0223426226719265,0.6132028853798087,1.2313623212572649,1.168637678742735,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.5,550.0,1170,0.9521833614887334,1.016854052117327,0.8875126708601399,1.4333333333333333,1.3500763800606062,1.026645764031087,0.6162932939832623,1.2285112011429682,1.1714887988570317,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.75,350.0,1170,0.9419721773861417,1.0022375666843713,0.8817067880879121,1.433187875519536,1.3074608572912088,0.9969658366492485,0.5919989061392134,1.2676529361373625,1.1335010084774115,2.401153944614774,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3244870810262519
1.2,0.75,400.0,1170,0.9416416971509081,1.0034043321826922,0.8798790621191239,1.4331573110347222,1.3095394512729701,0.9984631563259213,0.5944117612950967,1.2588686659380341,1.1413205542345084,2.4001892201725425,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3254518054684832
1.2,0.75,450.0,1170,0.9421052822293448,1.0047458381239316,0.8794647263347578,1.4333333333333333,1.313648961022792,1.0010311390741138,0.5971825430996697,1.2522705354287749,1.147729464571225,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.75,500.0,1170,0.9430369015581196,1.0063156617773503,0.8797581413388889,1.4333333333333333,1.3193793342162392,1.0045958091553686,0.6001243073834721,1.2470434818858973,1.1529565181141026,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,0.75,550.0,1170,0.9443474355687645,1.0081308107797202,0.8805640603578089,1.4333333333333333,1.3253320283131313,1.008418857861928,0.6030469659773344,1.2427668017144522,1.1572331982855477,2.4,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3256410256410258
1.2,1.0,350.0,1170,0.9480881776800978,1.005088767868132,0.8910875874920635,1.433963098017094,1.3228182916288156,1.002992685631046,0.5920289209665048,1.2934383011282051,1.1156225433992673,2.409060844527472,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.31658018111355357
1.2,1.0,400.0,1170,0.943962262482906,1.0023877400128205,0.8855367849529915,1.4335761768247863,1.310933933982906,0.9974517537755752,0.5908515706704077,1.2801645993547008,1.1239941739871795,2.40415877334188,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3214822522991456
1.2,1.0,450.0,1170,0.9422388646058879,1.0020721641994301,0.8824055650123457,1.4332578082659069,1.3076367232364672,0.9967658357266946,0.5915386635865004,1.270369895105413,1.1312968548281102,2.401666749933523,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3239742757075028
1.2,1.0,500.0,1170,0.9416868884786325,1.00279532451453,0.880578452442735,1.4331000917538461,1.3079819268376067,0.9977446106756411,0.5931345548437337,1.262940132634188,1.1375580980974358,2.400498230731624,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3251427949094019
1.2,1.0,550.0,1170,0.9416906775050505,1.0037191475058276,0.8796622075042735,1.433233946152292,1.310497911047397,0.9989415794909192,0.5950767361798983,1.257052467975136,1.1430469192059052,2.400099387181041,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.32554163845998474
1.2,1.25,350.0,1170,0.9603061936797924,1.0155479807814407,0.9050644065781441,1.4338923372985348,1.362530430460928,1.0262303678756943,0.5998207054939053,1.3228152045787545,1.1045055787210012,2.4273207832997556,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.2983202423412701
1.2,1.25,400.0,1170,0.9520870386137821,1.008258831514423,0.8959152457131411,1.4339332910416667,1.3353991461271368,1.0100595569163306,0.5942366645277968,1.3040123747943375,1.110309760884081,2.4143221356784186,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.31131888996260715
1.2,1.25,450.0,1170,0.9469813850249288,1.004229532865622,0.8897332371842355,1.4339018154154797,1.3195462023528015,1.0012823700286781,0.5915739056503776,1.2904072502635326,1.1173561847245963,2.407763434988129,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.31787759065289656
1.2,1.25,500.0,1170,0.943962262482906,1.0023877400128205,0.8855367849529915,1.4335761768247863,1.310933933982906,0.9974517537755752,0.5908515706704077,1.2801645993547008,1.1239941739871795,2.40415877334188,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3214822522991456
1.2,1.25,550.0,1170,0.9424696003069153,1.0020232163170164,0.8829159842968143,1.4333379831857032,1.3079674243317794,0.9967974145190671,0.591314395082939,1.2721410056915305,1.1299178082128982,2.4020588139044285,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3235822117365972
1.2,1.5,350.0,1170,0.9762829583852258,1.030796502989011,0.9217694137814407,1.4351892083406592,1.4130029819035408,1.0596540246011148,0.6111111763855495,1.356076668920635,1.1021952657203906,2.458271934641026,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.26736909099999995
1.2,1.5,400.0,1170,0.9639629323600427,1.0189453956688035,0.908980469051282,1.4342760231965812,1.3742789373504274,1.033249051657572,0.6023587271561738,1.3307605242863247,1.1032603581495726,2.434020882435897,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.29162014320512863
1.2,1.5,450.0,1170,0.9556624197393162,1.0112862206296296,0.9000386188490028,1.4337895238262108,1.347600182065527,1.0175134652128297,0.5966491965591454,1.3126059773418803,1.1069746575555555,2.419580634897436,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3060603907435899
1.2,1.5,500.0,1170,0.9501357474111112,1.0067398264358975,0.8935316683863248,1.4339825041316239,1.3289352496957265,1.0063339687667603,0.5930641339382295,1.2990033556700855,1.1126983363982905,2.411701692068376,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.3139393335726499
1.2,1.5,550.0,1170,0.9463201393469309,1.0037703050714841,0.8888699736223776,1.4338523316573426,1.3175878188694639,1.0003042459389537,0.5913383553743342,1.2885139874599845,1.1184858391748251,2.4069998266348094,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.31864119900621635
1.3,0.5,350.0,1170,0.9582622109377289,1.0180226534835164,0.8985017683919414,1.42991452991453,1.3223544945079364,1.00586304260635,0.6010185971965152,1.3448033160818071,1.255196683918193,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.5,400.0,1170,0.9626670498322649,1.0222534591399572,0.9030806405245727,1.42991452991453,1.331051398267094,1.011626387520773,0.6052226900139582,1.3392029015715812,1.260797098428419,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.5,450.0,1170,0.9668597352497625,1.0260987498869896,0.9076207206125356,1.42991452991453,1.338573442254511,1.0169054520971712,0.609034396021918,1.3348470236191834,1.2651529763808167,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.5,500.0,1170,0.9706945173376069,1.0295681649820514,0.9118208696931625,1.42991452991453,1.3448276078102563,1.0216239299873329,0.612431805318937,1.331362321257265,1.2686376787427351,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.5,550.0,1170,0.9741727680341881,1.032607995975913,0.9157375400924631,1.42991452991453,1.3500763800606062,1.0258101784286462,0.6154443982247,1.3285112011429683,1.2714887988570318,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.75,350.0,1170,0.9494061075106838,1.0076380437905983,0.8911741712307693,1.4296537915390721,1.3079209160164835,0.9953685091330395,0.5914382907020979,1.367362596320513,1.2330138654908425,2.600376461811355,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12526456382967055
1.3,0.75,400.0,1170,0.9513903904631411,1.0104490492879274,0.8923317316383547,1.42991452991453,1.3096431118344016,0.9967766148308406,0.5937810677147606,1.3588043523573718,1.2411956476426282,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.75,450.0,1170,0.9540257787849002,1.013598522491453,0.8944530350783476,1.42991452991453,1.313648961022792,1.0000283963196077,0.5965939500393342,1.352270535428775,1.2477294645712251,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.75,500.0,1170,0.9567757025038461,1.016551009981624,0.8970003950260684,1.42991452991453,1.3193793342162392,1.0038864300968768,0.5995517958839591,1.3470434818858974,1.2529565181141027,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,0.75,550.0,1170,0.9597683372385393,1.0194642493834498,0.9000724250936286,1.42991452991453,1.3253320283131313,1.0078240626447132,0.6024578640483196,1.3427668017144523,1.2572331982855478,2.6,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.12564102564102564
1.3,1.0,350.0,1170,0.9530881983113553,1.0095305644126984,0.8966458322100123,1.4306735268644688,1.3241773375702075,0.9988496717746554,0.5908324879007535,1.3920829303321123,1.213684159008547,2.6057670893406595,1.471794871794872,1.2538461538461538,2.7256410256410257,-0.11987393630036625
